source,target,channel,timestamp
arendón,tsharma,email,2026-03-08 09:15:00+00:00
arendón,fribeiro,email,2026-03-08 09:15:00+00:00
arendón,kpetrov,email,2026-03-08 09:15:00+00:00
arendón,hwang,email_cc,2026-03-08 09:15:00+00:00
arendón,mcarvalho,email_cc,2026-03-08 09:15:00+00:00
kpetrov,arendón,email,2026-03-08 09:45:00+00:00
kpetrov,tsharma,email,2026-03-08 09:45:00+00:00
kpetrov,fribeiro,email_cc,2026-03-08 09:45:00+00:00
mcarvalho,tsharma,email,2026-03-08 10:30:00+00:00
mcarvalho,arendón,email,2026-03-08 10:30:00+00:00
mcarvalho,hwang,email_cc,2026-03-08 10:30:00+00:00
hwang,mcarvalho,email,2026-03-08 11:00:00+00:00
hwang,tsharma,email,2026-03-08 11:00:00+00:00
hwang,arendón,email,2026-03-08 11:00:00+00:00
hwang,kpetrov,email_cc,2026-03-08 11:00:00+00:00
hwang,fribeiro,email_cc,2026-03-08 11:00:00+00:00
jrodriguez,mcarvalho,email,2026-03-08 11:30:00+00:00
jrodriguez,okonkwo,email,2026-03-08 11:30:00+00:00
jrodriguez,arendón,email,2026-03-08 11:30:00+00:00
jrodriguez,lzhao,email_cc,2026-03-08 11:30:00+00:00
jrodriguez,hwang,email_cc,2026-03-08 11:30:00+00:00
tsharma,arendón,email,2026-03-08 12:00:00+00:00
tsharma,fribeiro,email,2026-03-08 12:00:00+00:00
tsharma,kpetrov,email,2026-03-08 12:00:00+00:00
tsharma,hwang,email_cc,2026-03-08 12:00:00+00:00
okonkwo,jrodriguez,email,2026-03-08 13:00:00+00:00
okonkwo,mcarvalho,email,2026-03-08 13:00:00+00:00
okonkwo,arendón,email_cc,2026-03-08 13:00:00+00:00
okonkwo,lzhao,email_cc,2026-03-08 13:00:00+00:00
lzhao,mcarvalho,email,2026-03-08 14:00:00+00:00
lzhao,tsharma,email,2026-03-08 14:00:00+00:00
lzhao,arendón,email,2026-03-08 14:00:00+00:00
lzhao,hwang,email_cc,2026-03-08 14:00:00+00:00
hwang,arendón,email,2026-03-09 09:30:00+00:00
hwang,mcarvalho,email_cc,2026-03-09 09:30:00+00:00
hwang,tsharma,email_cc,2026-03-09 09:30:00+00:00
fribeiro,tsharma,email,2026-03-09 10:15:00+00:00
fribeiro,kpetrov,email_cc,2026-03-09 10:15:00+00:00
fribeiro,nsharma,email_cc,2026-03-09 10:15:00+00:00
jrodriguez,mcarvalho,email,2026-03-09 11:00:00+00:00
jrodriguez,mbaddour,email,2026-03-09 11:00:00+00:00
jrodriguez,hnguyen,email_cc,2026-03-09 11:00:00+00:00
jrodriguez,kwilliams,email_cc,2026-03-09 11:00:00+00:00
lkamau,achukwuma,email,2026-03-09 11:45:00+00:00
lkamau,arendón,email_cc,2026-03-09 11:45:00+00:00
lkamau,yamada,email_cc,2026-03-09 11:45:00+00:00
tsharma,fribeiro,email,2026-03-09 13:00:00+00:00
tsharma,kpetrov,email,2026-03-09 13:00:00+00:00
tsharma,nsharma,email,2026-03-09 13:00:00+00:00
tsharma,hwang,email_cc,2026-03-09 13:00:00+00:00
tsharma,arossi,email_cc,2026-03-09 13:00:00+00:00
mcarvalho,hwang,email,2026-03-09 14:30:00+00:00
mcarvalho,arendón,email,2026-03-09 14:30:00+00:00
mcarvalho,tsharma,email_cc,2026-03-09 14:30:00+00:00
mcarvalho,jrodriguez,email_cc,2026-03-09 14:30:00+00:00
jrodriguez,mbaddour,email,2026-03-09 15:00:00+00:00
jrodriguez,hnguyen,email,2026-03-09 15:00:00+00:00
jrodriguez,mcarvalho,email_cc,2026-03-09 15:00:00+00:00
jrodriguez,kwilliams,email_cc,2026-03-09 15:00:00+00:00
arendón,achukwuma,email,2026-03-09 15:30:00+00:00
arendón,yamada,email,2026-03-09 15:30:00+00:00
arendón,lkamau,email_cc,2026-03-09 15:30:00+00:00
arendón,rpatel,email_cc,2026-03-09 15:30:00+00:00
tsharma,fribeiro,email,2026-03-09 16:00:00+00:00
tsharma,arossi,email,2026-03-09 16:00:00+00:00
tsharma,kpetrov,email_cc,2026-03-09 16:00:00+00:00
tsharma,nsharma,email_cc,2026-03-09 16:00:00+00:00
mcarvalho,hwang,email,2026-03-09 17:00:00+00:00
mcarvalho,arendón,email_cc,2026-03-09 17:00:00+00:00
mcarvalho,tsharma,email_cc,2026-03-09 17:00:00+00:00
arendon,tsharma,email,2026-03-10 09:30:00+00:00
arendon,hwang,email,2026-03-10 09:30:00+00:00
arendon,fribeiro,email,2026-03-10 09:30:00+00:00
arendon,mcarvalho,email_cc,2026-03-10 09:30:00+00:00
arendon,lzhao,email_cc,2026-03-10 09:30:00+00:00
dschmidt,hwang,email,2026-03-10 10:15:00+00:00
dschmidt,tsharma,email,2026-03-10 10:15:00+00:00
dschmidt,fribeiro,email,2026-03-10 10:15:00+00:00
dschmidt,mcarvalho,email_cc,2026-03-10 10:15:00+00:00
dschmidt,lzhao,email_cc,2026-03-10 10:15:00+00:00
hwang,tsharma,email,2026-03-10 11:00:00+00:00
hwang,arendon,email,2026-03-10 11:00:00+00:00
hwang,fribeiro,email,2026-03-10 11:00:00+00:00
hwang,mcarvalho,email_cc,2026-03-10 11:00:00+00:00
hwang,lzhao,email_cc,2026-03-10 11:00:00+00:00
jrodriguez,mhamed,email,2026-03-10 11:30:00+00:00
jrodriguez,kwilliams,email,2026-03-10 11:30:00+00:00
jrodriguez,hnguyen,email,2026-03-10 11:30:00+00:00
jrodriguez,mcarvalho,email_cc,2026-03-10 11:30:00+00:00
jrodriguez,lzhao,email_cc,2026-03-10 11:30:00+00:00
achukwuma,tsharma,email,2026-03-10 12:00:00+00:00
achukwuma,hwang,email,2026-03-10 12:00:00+00:00
achukwuma,fribeiro,email,2026-03-10 12:00:00+00:00
achukwuma,mcarvalho,email_cc,2026-03-10 12:00:00+00:00
achukwuma,lzhao,email_cc,2026-03-10 12:00:00+00:00
lzhao,hwang,email,2026-03-10 13:00:00+00:00
lzhao,tsharma,email,2026-03-10 13:00:00+00:00
lzhao,arendon,email,2026-03-10 13:00:00+00:00
